method,seed,sample_index,true_class,original_class,counterfactual_class,time_seconds,num_grad_updates_used,EN,IM1,IM2,is_satisfactory
D,44,7822,1,1,1,3.4821050000027753,500,23.988998794555663,1.0,0.7088689208030701,0
E,44,7822,1,1,8,0.9470968999667093,171,23.417731857299806,0.17330695688724518,0.024331051856279373,1
F,44,7822,1,1,1,3.4711705000372604,500,23.973635482788087,1.0,0.7093324065208435,0
A,42,4021,1,1,1,2.6845035000005737,500,0.022019365265441595,1.0,0.6534460186958313,0
B,42,4021,1,1,1,3.3845409999485128,500,17.45958003997803,1.0,0.6422741413116455,0
C,42,4021,1,1,1,3.0899127000011504,500,11.391378211975098,1.0,0.5236126184463501,0
D,42,4021,1,1,1,3.6169974000076763,500,18.36106719970703,1.0,0.5724120736122131,0
E,42,4021,1,1,1,2.0625203999807127,500,11.231714057922364,1.0,0.5224120020866394,0
F,42,4021,1,1,1,2.627127500018105,500,18.267779731750487,1.0,0.5729907751083374,0
A,43,4021,1,1,1,2.2263808000134304,500,0.022019365265441595,1.0,0.6534460186958313,0
B,43,4021,1,1,1,2.799622700025793,500,17.45958003997803,1.0,0.6422741413116455,0
C,43,4021,1,1,1,2.5623433000291698,500,11.391378211975098,1.0,0.5236126184463501,0
D,43,4021,1,1,1,3.184463699988555,500,18.36106719970703,1.0,0.5724120736122131,0
E,43,4021,1,1,1,2.054547099978663,500,11.231714057922364,1.0,0.5224120020866394,0
F,43,4021,1,1,1,2.5792272000107914,500,18.267779731750487,1.0,0.5729907751083374,0
A,44,4021,1,1,1,2.121625700034201,500,0.022019365265441595,1.0,0.6534460186958313,0
B,44,4021,1,1,1,2.7824709999840707,500,17.45958003997803,1.0,0.6422741413116455,0
C,44,4021,1,1,1,2.545077700051479,500,11.391378211975098,1.0,0.5236126184463501,0
D,44,4021,1,1,1,3.0530536000151187,500,18.36106719970703,1.0,0.5724120736122131,0
E,44,4021,1,1,1,2.0596324000507593,500,11.231714057922364,1.0,0.5224120020866394,0
F,44,4021,1,1,1,2.616391699993983,500,18.267779731750487,1.0,0.5729907751083374,0
A,42,3679,1,1,1,2.1336163000087254,500,0.019943452875304503,1.0,0.6393465995788574,0
B,42,3679,1,1,1,2.7546545999939553,500,18.857452392578125,0.9999999403953552,0.5376057624816895,0
C,42,3679,1,1,1,2.5554048000485636,500,8.323060989379883,1.0,0.4675898849964142,0
D,42,3679,1,1,1,3.113424399984069,500,17.246289253234863,1.0,0.4970429241657257,0
E,42,3679,1,1,1,1.9975439000409096,500,8.4233717918396,1.0,0.4669017791748047,0
F,42,3679,1,1,1,2.571507099957671,500,17.22949981689453,1.0,0.4981394112110138,0
A,43,3679,1,1,1,2.214630199945532,500,0.019943452875304503,1.0,0.6393465995788574,0
B,43,3679,1,1,1,2.7833005000138655,500,18.857452392578125,0.9999999403953552,0.5376057624816895,0
C,43,3679,1,1,1,2.548821099975612,500,8.323060989379883,1.0,0.4675898849964142,0
D,43,3679,1,1,1,3.0548158999881707,500,17.246289253234863,1.0,0.4970429241657257,0
E,43,3679,1,1,1,2.0416900999844074,500,8.4233717918396,1.0,0.4669017791748047,0
F,43,3679,1,1,1,2.604202200018335,500,17.22949981689453,1.0,0.4981394112110138,0
A,44,3679,1,1,1,2.159150799969211,500,0.019943452875304503,1.0,0.6393465995788574,0
B,44,3679,1,1,1,2.7871183999814093,500,18.857452392578125,0.9999999403953552,0.5376057624816895,0
C,44,3679,1,1,1,2.572181800031103,500,8.323060989379883,1.0,0.4675898849964142,0
D,44,3679,1,1,1,3.0637461000005715,500,17.246289253234863,1.0,0.4970429241657257,0
E,44,3679,1,1,1,1.9870501999976113,500,8.4233717918396,1.0,0.4669017791748047,0
F,44,3679,1,1,1,2.6002834999817424,500,17.22949981689453,1.0,0.4981394112110138,0
A,42,6419,1,1,1,2.128740799962543,500,0.023495410848408938,1.0,0.6729285717010498,0
B,42,6419,1,1,1,2.8280043000122532,500,16.212122917175293,1.0,0.6642959117889404,0
C,42,6419,1,1,1,2.5577507999842055,500,8.933085632324218,1.0,0.5237845182418823,0
D,42,6419,1,1,1,3.0870402000145987,500,16.3961483001709,1.0,0.5665507316589355,0
E,42,6419,1,1,1,2.0166925999801606,500,8.919046020507812,1.0,0.5250328779220581,0
F,42,6419,1,1,1,2.578016999992542,500,16.350136947631835,1.0,0.5668709874153137,0
A,43,6419,1,1,1,2.167074400000274,500,0.023495410848408938,1.0,0.6729285717010498,0
B,43,6419,1,1,1,2.9737932000425644,500,16.212122917175293,1.0,0.6642959117889404,0
C,43,6419,1,1,1,3.1930631999857724,500,8.933085632324218,1.0,0.5237845182418823,0
D,43,6419,1,1,1,3.3152910000062548,500,16.3961483001709,1.0,0.5665507316589355,0
E,43,6419,1,1,1,2.1112836999818683,500,8.919046020507812,1.0,0.5250328779220581,0
F,43,6419,1,1,1,2.677092799975071,500,16.350136947631835,1.0,0.5668709874153137,0
A,44,6419,1,1,1,2.1840423999819905,500,0.023495410848408938,1.0,0.6729285717010498,0
B,44,6419,1,1,1,2.7579324999824166,500,16.212122917175293,1.0,0.6642959117889404,0
C,44,6419,1,1,1,2.53959489997942,500,8.933085632324218,1.0,0.5237845182418823,0
D,44,6419,1,1,1,3.0639791000285186,500,16.3961483001709,1.0,0.5665507316589355,0
E,44,6419,1,1,1,1.9843972999951802,500,8.919046020507812,1.0,0.5250328779220581,0
F,44,6419,1,1,1,2.5753785999841057,500,16.350136947631835,1.0,0.5668709874153137,0
A,42,8252,1,1,1,2.1459005000069737,500,0.020544402778614315,1.0,0.7471944093704224,0
B,42,8252,1,1,1,2.7700470000272617,500,14.379533767700195,1.0,0.6168869733810425,0
